"id","likes_count","from_id","from_name","message","created_time","type","link","story","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count","post_datetime"
"124299741408_10150633686196409",5,"124299741408","NTUC FairPrice",NA,"1973-01-01T08:00:00+0000","link","https://www.facebook.com/124299741408/posts/10150633686196409/","NTUC FairPrice added a life event from 1973: Founded in 1973.",0,0,0,0,0,0,0,1973-01-01 08:00:00
"124299741408_10150856484056409",8,"124299741408","NTUC FairPrice",NA,"1983-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150856484011409/10150856484011409/?type=3","NTUC FairPrice added a life event from 1983: NTUC FairPrice Co-operative Ltd Formed.",0,1,0,0,0,0,0,1983-01-01 08:00:00
"124299741408_10150856485356409",3,"124299741408","NTUC FairPrice",NA,"1983-06-01T07:00:00+0000","link","https://www.facebook.com/124299741408/posts/10150856485356409/","NTUC FairPrice added a life event from June 1983: Used Textbook Project Launched.",0,0,0,0,0,0,0,1983-06-01 07:00:00
"124299741408_10150856487136409",6,"124299741408","NTUC FairPrice",NA,"1985-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150856487101409/10150856487101409/?type=3","NTUC FairPrice added a life event from 1985: FairPrice Housebrand Products Introduced.",0,0,0,0,0,0,0,1985-01-01 08:00:00
"124299741408_10150856489041409",1,"124299741408","NTUC FairPrice",NA,"1991-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150856489011409/10150856489011409/?type=3","NTUC FairPrice added a life event from 1991: First Retailer to Implement Bar-Coding at Check-Out Counters.",0,0,0,0,0,0,0,1991-01-01 08:00:00
"124299741408_10150856491601409",3,"124299741408","NTUC FairPrice",NA,"1994-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150856491566409/10150856491566409/?type=3","NTUC FairPrice added a life event from 1994: Everyday Low Price (EDLP) Essential Items Introduced.",0,0,0,0,0,0,0,1994-01-01 08:00:00
"124299741408_10150856494816409",6,"124299741408","NTUC FairPrice",NA,"1998-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150856494746409/10150856494746409/?type=3","NTUC FairPrice added a life event from 1998: Full Ownership of Grocery Logistics of Singapore Pte Ltd (GLS).",0,0,0,0,0,0,0,1998-01-01 08:00:00
"124299741408_10150856503851409",7,"124299741408","NTUC FairPrice",NA,"1998-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150856503841409/10150856503841409/?type=3","NTUC FairPrice added a life event from 1998: Cheers.",0,0,0,0,0,0,0,1998-01-01 08:00:00
"124299741408_10150857783011409",7,"124299741408","NTUC FairPrice",NA,"1999-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150857782951409/10150857782951409/?type=3","NTUC FairPrice added a life event from 1999: LinkPoints Loyalty Programme Rolled Out.",0,0,0,0,0,0,0,1999-01-01 08:00:00
"124299741408_10150858214431409",1,"124299741408","NTUC FairPrice",NA,"2002-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858214411409/10150858214411409/?type=3","NTUC FairPrice added a life event from 2002: FairPrice Online Introduced to Increase Shopping Convenience.",0,0,0,0,0,0,0,2002-01-01 08:00:00
"124299741408_10150858217936409",0,"124299741408","NTUC FairPrice",NA,"2002-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858217911409/10150858217911409/?type=3","NTUC FairPrice added a life event from 2002: FairPrice Reward for Senior Citizens.",0,0,0,0,0,0,0,2002-01-01 08:00:00
"124299741408_10150858220336409",0,"124299741408","NTUC FairPrice",NA,"2003-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858220296409/10150858220296409/?type=3","NTUC FairPrice added a life event from 2003: FairPrice Builds and Owns Refrigerated Fresh Food Distribution Centre.",0,0,0,0,0,0,0,2003-01-01 08:00:00
"124299741408_10150858221126409",1,"124299741408","NTUC FairPrice",NA,"2004-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858221106409/10150858221106409/?type=3","NTUC FairPrice added a life event from 2004: Just Wine Club Launched to Cultivate Wine Appreciation.",3,0,0,0,0,0,0,2004-01-01 08:00:00
"124299741408_10150858222141409",0,"124299741408","NTUC FairPrice",NA,"2005-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858222121409/10150858222121409/?type=3","NTUC FairPrice added a life event from 2005: Rollout of FairPrice Xpress and Cheers.",0,0,0,0,0,0,0,2005-01-01 08:00:00
"124299741408_10150858222941409",0,"124299741408","NTUC FairPrice",NA,"2006-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858222926409/10150858222926409/?type=3","NTUC FairPrice added a life event from 2006: First FairPrice Xtra at Ang Mo Kio Hub.",0,0,0,0,0,0,0,2006-01-01 08:00:00
"124299741408_10150858223401409",0,"124299741408","NTUC FairPrice",NA,"2007-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858223376409/10150858223376409/?type=3","NTUC FairPrice added a life event from 2007: First FairPrice Finest opened at Bukit Timah Plaza.",0,0,0,0,0,0,0,2007-01-01 08:00:00
"124299741408_10150858224136409",0,"124299741408","NTUC FairPrice",NA,"2007-01-01T08:00:00+0000","photo","https://www.facebook.com/thatsmyfairprice/photos/p.10150858224101409/10150858224101409/?type=3","NTUC FairPrice added a life event from 2007: FairPrice Green Rewards Implemented.",0,0,0,0,0,0,0,2007-01-01 08:00:00
